Be_star,Type,RA,DEC,Xcat,Xidentifier,Gamma,e_Gamma,E_Gamma,Fb,e_Fb,E_Fb,Fs,e_Fs,E_Fs,Fm,e_Fm,E_Fm,Fh,e_Fh,E_Fh,HRms,e_HRms,E_HRms,HRhm,e_HRhm,E_HRhm,DR3Name,Plx,RPlx,PM,e_PM,epsi,sepsi,RUWE,G,e_G,BP,e_BP,RP,e_RP,Teff,Gflux,e_Gflux,E_Gflux,dist,e_dist,E_dist,J,e_J,H,e_H,K,e_K,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Vsini,Vtran,e_Vtran,E_Vtran,LX,e_LX,E_LX,fX2O,e_fX2O,E_fX2O,match_flag,Class,ref
QY Car,B2IVnpe,152.9434874,-58.0605148,XMM,J101146.5-580339,,,,9e-15,5e-15,5e-15,6e-15,1e-15,1e-15,9e-16,4e-16,4e-16,2e-15,4e-15,4e-15,-0.7,0.2,0.2,0.4,1.6,1.6,Gaia DR3 5258611382897321088,1.816,37.18,13.01,0.06,0.418,207.1,0.836,5.624,0.003,5.601,0.006,5.59,0.007,,5.7e-08,2e-10,2e-10,550.0,16.0,14.0,5.61,0.02,5.57,0.04,5.35,0.02,4.9,0.2,4.52,0.09,3.95,0.01,3.03,0.02,237.0,33.9,1.0,0.9,3.2467203e+29,1.7061274e+29,1.7028404e+29,1.6e-07,8e-08,8e-08,0,star,
HD 90563,B2Ve,156.46852195,-58.78529983,XMM,J102552.5-584706,,,,1.2e-13,3e-14,3e-14,2e-16,9e-16,9e-16,8e-15,2e-15,2e-15,1.1e-13,3e-14,3e-14,1.0,0.4,0.4,0.9,0.3,0.3,Gaia DR3 5255562334073817472,0.3977,30.75,7.85,0.01,0.099,11.86,0.949,9.98,0.003,10.258,0.003,9.497,0.004,,1.032e-09,3e-12,3e-12,2459.0,93.0,92.0,8.83,0.03,8.57,0.03,8.19,0.02,7.64,0.03,7.31,0.02,6.4,0.02,5.52,0.04,,92.0,3.0,3.0,8.516371e+31,2.1239963e+31,2.1218798e+31,0.00011,3e-05,3e-05,0,GCA,4
HD 303296,B1Ve,160.6042521,-59.15679214,CXO,J104224.9-590924,,,,2.6e-15,8e-16,1.2e-15,2.1e-15,8e-16,7e-16,5e-16,3e-16,3e-16,1e-20,1e-20,8.8366e-16,-0.6,0.4,0.4,-1.0,1.9,1.9,Gaia DR3 5350408058194591872,0.5331,15.07,7.98,0.04,0.344,130.1,1.504,9.56,0.003,9.569,0.003,9.474,0.004,18754.0,1.52e-09,4e-12,4e-12,1912.0,138.0,135.0,9.41,0.02,9.44,0.02,9.49,0.03,9.51,0.03,9.61,0.02,8.96,,3.75,0.05,,72.0,5.0,5.0,1.14760744e+30,3.99528e+29,5.4236447e+29,1.7e-06,5e-07,8e-07,0,star,
HD 93190,O9.5e,161.08165574,-59.28298913,CXO,J104419.6-591658,,,,1.9e-14,3e-15,3e-15,4.5e-15,9e-16,9e-16,4.1e-15,7e-16,7e-16,1e-14,3e-15,3e-15,-0.0,0.1,0.1,0.4,0.2,0.2,Gaia DR3 5350396620729366656,0.4141,23.17,6.92,0.02,0.141,17.87,1.073,8.381,0.003,8.605,0.003,7.96,0.004,,4.5e-09,1e-11,1e-11,2396.0,111.0,136.0,7.54,0.02,7.36,0.04,7.04,0.02,6.59,0.07,6.22,0.03,5.63,0.02,4.71,,,79.0,4.0,4.0,1.2942527e+31,2.2899175e+30,2.4354057e+30,4.2e-06,6e-07,6e-07,0,star,
Cl* Trumpler 16 MJ 632,B1Ve,161.47374583,-59.95105371,CXO,J104553.6-595703,,,,8e-15,3e-15,3e-15,2.1e-15,8e-16,8e-16,1.4e-15,8e-16,8e-16,5e-15,2e-15,2e-15,-0.2,0.3,0.3,0.5,0.5,0.5,Gaia DR3 5350304227386859776,0.3992,27.62,7.02,0.02,0.094,8.662,0.751,11.148,0.003,11.373,0.003,10.688,0.004,,3.521e-10,9e-13,9e-13,2344.0,90.0,91.0,9.93,0.03,9.66,0.03,9.44,0.03,,,,,,,,,,78.0,3.0,3.0,5.49796e+30,1.7925819e+30,1.7802063e+30,2.4e-05,8e-06,7e-06,1,YSO,1
HD 305560,Oe,161.61852102,-60.56409666,XRT,175558,,,,3.57e-10,4e-12,4e-12,8.9e-11,2e-12,2e-12,6.4e-11,1e-12,1e-12,2.05e-10,4e-12,4e-12,-0.16,0.01,0.01,0.53,0.02,0.02,Gaia DR3 5254194988310454528,0.1706,13.39,5.48,0.01,0.088,8.11,0.937,9.602,0.003,9.825,0.003,9.184,0.004,,1.462e-09,4e-12,4e-12,5570.0,478.0,414.0,8.67,0.02,8.51,0.03,8.42,0.02,8.28,0.02,8.23,0.02,8.13,0.03,9.32,,,145.0,12.0,11.0,1.3266428e+36,2.2847148e+35,1.976599e+35,0.244,0.003,0.003,0,star,
HD 93843,O6IIIe,162.15732809,-60.22374714,CXO,J104837.7-601325,7.1,0.8,0.9,1.15e-13,6e-15,6e-15,8.8e-14,5e-15,5e-15,1.8e-14,2e-15,2e-15,9e-15,2e-15,2e-15,-0.66,0.06,0.06,-0.4,0.1,0.1,Gaia DR3 5338275673288599936,0.4157,15.76,6.22,0.03,0.265,54.37,0.876,7.274,0.003,7.249,0.003,7.244,0.004,,1.247e-08,3e-11,3e-11,2366.0,144.0,186.0,7.23,0.03,7.27,0.05,7.23,0.03,7.16,0.04,7.24,0.02,6.99,0.03,5.7,0.2,,70.0,4.0,5.0,7.6907557e+31,1.0197507e+31,1.271587e+31,9.2e-06,5e-07,5e-07,0,star,
HD 305891,B3Ve,165.62489468,-60.81551723,XMM,J110230.0-604854,,,,2.5e-14,3e-15,3e-15,8e-15,1e-15,1e-15,9e-15,1e-15,1e-15,8e-15,3e-15,3e-15,0.06,0.1,0.1,-0.1,0.2,0.2,Gaia DR3 5338052502434618112,0.4127,23.61,6.34,0.02,0.144,20.18,0.824,10.208,0.003,10.12,0.01,10.02,0.01,19102.0,8.36e-10,2e-12,2e-12,2378.0,106.0,103.0,9.91,0.03,9.87,0.04,9.86,0.03,9.69,0.02,9.78,0.02,9.4,0.3,6.8,0.2,,72.0,3.0,3.0,1.7249088e+31,2.75438e+30,2.7239248e+30,3e-05,4e-06,4e-06,1,star,
2E 1118.7-6138,O9.5IVe,170.23817252,-61.91670671,CXO,J112057.1-615500,1.5,0.07,0.07,2.96e-12,6e-14,6e-14,4.6e-14,3e-15,3e-15,3.1e-13,1e-14,1e-14,2.61e-12,6e-14,6e-14,0.74,0.04,0.04,0.79,0.03,0.03,Gaia DR3 5336957010898124160,0.3293,28.72,5.59,0.01,0.07,6.38,0.882,11.589,0.003,12.271,0.003,10.76,0.004,28987.0,2.344e-10,6e-13,6e-13,2900.0,76.0,86.0,9.56,0.02,9.07,0.02,8.59,0.02,8.04,0.02,7.66,0.02,6.8,0.02,6.03,0.05,,77.0,2.0,2.0,2.9766974e+33,1.6898516e+32,1.8833573e+32,0.0126,0.0003,0.0003,0,HMXB,3
HD 99146,B3Ve,170.97065168,-59.30480384,CXO,J112352.9-591817,,,,3.5e-15,6e-16,9e-16,3.5e-15,6e-16,6e-16,1e-20,1e-20,1.0067e-16,1e-20,1e-20,6.5724e-16,-1.0,0.2,0.2,,,,Gaia DR3 5339172153213672576,-1.6586,-2.15,6.0,0.7,7.294,30010.0,37.98,8.043,0.004,8.151,0.003,7.719,0.006,37544.0,6.15e-09,2e-11,2e-11,,,,7.4,0.02,7.31,0.05,7.03,0.03,6.56,0.07,6.26,0.03,5.854,0.009,5.39,0.03,,,,,,,,5.8e-07,9e-08,1.4e-07,0,star,
HD 100199,B0.5IIIne,172.77874086,-62.94691902,CXO,J113106.9-625648,0.1,0.2,0.2,2.7e-12,1e-13,1e-13,1.3e-14,5e-15,5e-15,1.4e-13,1e-14,1e-14,2.6e-12,1e-13,1e-13,0.8,0.1,0.1,0.9,0.07,0.07,Gaia DR3 5333660129603575808,0.5732,12.27,6.25,0.05,0.468,135.9,1.505,8.127,0.003,8.114,0.004,8.075,0.005,29917.0,5.69e-09,2e-11,2e-11,1731.0,112.0,139.0,8.05,0.02,8.07,0.03,8.01,0.03,8.06,0.02,8.01,0.02,7.62,0.04,7.0,0.1,,51.0,3.0,4.0,9.7397184e+32,1.3497056e+32,1.6397204e+32,0.00048,2e-05,2e-05,0,HMXB,1
V870 Cen,B2Ve,174.58301532,-63.34347837,XMM,J113819.9-632031,,,,1e-14,2e-15,2e-15,4.3e-15,7e-16,7e-16,4.3e-15,5e-16,5e-16,2e-15,1e-15,1e-15,0.01,0.1,0.1,-0.4,0.2,0.2,Gaia DR3 5333580105769333120,0.4102,26.41,6.32,0.02,0.128,20.02,0.946,10.638,0.003,10.705,0.006,10.47,0.006,15167.0,5.63e-10,2e-12,2e-12,2369.0,82.0,111.0,10.26,0.04,10.23,0.04,10.22,0.04,10.1827,0.0007,10.201,0.002,,,,,,71.0,2.0,3.0,6.9305384e+30,1.125389e+30,1.20560256e+30,1.8e-05,3e-06,3e-06,1,star,
HD 308829,B5e,174.7414595,-63.47749414,XMM,J113858.4-632838,,,,1.9e-13,1e-14,1e-14,3.8e-14,2e-15,2e-15,5.1e-14,2e-15,2e-15,1e-13,1e-14,1e-14,0.14,0.03,0.03,0.32,0.08,0.08,Gaia DR3 5333574672615611776,0.3761,22.02,6.12,0.02,0.147,26.97,1.135,10.625,0.003,10.781,0.004,10.326,0.005,,5.7e-10,2e-12,2e-12,2562.0,86.0,129.0,9.88,0.02,9.73,0.03,9.68,0.03,,,,,,,,,,74.0,3.0,4.0,1.4818001e+32,1.3135279e+31,1.7182217e+31,0.00033,2e-05,2e-05,1,star,
V801 Cen,B1Vne,177.00003002,-62.20691023,CXO,J114800.0-621224,0.83,0.02,0.02,8.59e-12,1e-13,9e-14,4.12e-13,9e-15,9e-15,8.6e-13,1e-14,1e-14,7.32e-12,1e-13,9e-14,0.35,0.01,0.01,0.79,0.02,0.01,Gaia DR3 5334823859608495104,0.4754,27.27,6.43,0.02,0.114,10.14,0.852,8.653,0.003,8.823,0.004,8.29,0.01,41348.0,3.5e-09,1e-11,1e-11,2063.0,87.0,81.0,8.68,0.03,8.58,0.06,8.4,0.03,8.32,0.02,8.17,0.02,7.78,0.02,6.98,0.09,,63.0,3.0,2.0,4.3764328e+33,3.7321498e+32,3.458556e+32,0.00245,3e-05,3e-05,0,HMXB,3
V863 Cen,B6IIIe,182.02153097,-50.66132229,XMM,J120805.2-503940,,,,8.8e-14,5e-15,5e-15,6.7e-14,4e-15,4e-15,1.6e-14,2e-15,2e-15,5e-15,2e-15,2e-15,-0.61,0.06,0.06,-0.5,0.1,0.1,Gaia DR3 6126517517699891712,9.1857,47.77,34.6,0.1,1.426,4540.0,1.44,4.397,0.003,4.34,0.003,4.552,0.004,14108.0,1.765e-07,5e-10,5e-10,109.0,2.0,2.0,5.1,0.3,4.95,0.08,4.87,0.03,4.9,0.2,4.7,0.1,4.99,0.01,4.96,0.03,,17.9,0.4,0.3,1.2438454e+29,8.383529e+27,8.095676e+27,5e-07,3e-08,3e-08,0,star,
del Cen,B2Vne,182.0893933,-50.72248107,XMM,J120821.5-504320,,,,8.8e-14,7e-15,7e-15,7.4e-14,5e-15,5e-15,1e-14,1e-15,1e-15,4e-15,4e-15,4e-15,-0.77,0.07,0.07,-0.4,0.3,0.3,Gaia DR3 6126469654585981952,5.7179,8.78,44.0,0.4,2.75,10100.0,3.221,2.508,0.006,2.88,0.03,2.63,0.01,,1.006e-06,6e-09,6e-09,187.0,20.0,25.0,2.8,0.3,2.8,0.2,2.7,0.2,0.47,,0.29,,1.023,0.006,0.33,0.01,260.0,39.0,4.0,5.0,3.696619e+29,8.366595e+28,1.0147009e+29,8.7e-08,7e-09,7e-09,0,star,
BZ Cru,B0.5IVpe,190.70931703,-63.05864217,XMM,J124250.3-630330,,,,1.207e-11,2e-14,2e-14,9.8e-13,3e-15,3e-15,1.847e-12,4e-15,4e-15,9.24e-12,2e-14,2e-14,0.307,0.002,0.002,0.667,0.003,0.003,Gaia DR3 6055103928246312960,2.2826,29.83,13.37,0.07,0.663,549.3,1.09,5.137,0.003,5.318,0.004,4.794,0.006,35305.0,8.93e-08,2e-10,2e-10,439.0,15.0,15.0,4.7,0.2,4.3,0.2,4.0,0.3,3.5,0.3,2.9,0.3,2.27,0.01,1.54,0.01,400.0,27.8,1.0,1.0,2.785238e+32,1.9071315e+31,1.9118559e+31,0.0001351,5e-07,5e-07,0,GCA,2
V850 Cen,B2Vne,195.3211965,-61.60184481,XRT,26238,,,,8.87e-11,2e-13,2e-13,2.206e-11,8e-14,8e-14,1.582e-11,6e-14,6e-14,5.08e-11,2e-13,2e-13,-0.165,0.003,0.003,0.525,0.003,0.003,Gaia DR3 5863533199843070208,0.5395,38.32,4.35,0.01,0.089,10.3,1.017,12.648,0.003,13.952,0.005,11.519,0.005,,8.84e-11,2e-13,2e-13,1856.0,46.0,37.0,9.8,0.02,9.3,0.02,9.04,0.02,8.02,0.02,7.61,0.02,6.89,0.02,4.88,0.04,,38.2,0.9,0.8,3.655316e+34,1.7964949e+33,1.4452272e+33,1.002,0.004,0.004,0,HMXB,3
CPD-63 2495,B2e,195.69848852,-63.83573123,CXO,J130247.6-635008,1.79,0.05,0.05,9.9e-13,2e-14,2e-14,1e-13,4e-15,4e-15,1.84e-13,5e-15,5e-15,7.1e-13,2e-14,2e-14,0.3,0.02,0.02,0.59,0.02,0.02,Gaia DR3 5862299960127967488,0.4434,33.32,7.1,0.01,0.067,4.899,0.981,9.633,0.003,10.154,0.003,8.913,0.004,35610.0,1.421e-09,4e-12,4e-12,2171.0,59.0,62.0,8.03,0.03,7.7,0.05,7.25,0.02,6.78,0.04,6.46,0.02,5.64,0.01,4.74,0.03,,73.0,2.0,2.0,5.597896e+32,3.221596e+31,3.4025834e+31,0.0007,1e-05,1e-05,0,HMGB,1
HD 117357,O9.5Ve,202.81451545,-61.73263347,XMM,J133115.4-614357,,,,8e-15,6e-15,6e-15,4.5e-15,1e-15,1e-15,0.0,3e-16,3e-16,4e-15,6e-15,6e-15,-1.0,0.3,0.3,1.0,2.2,2.2,Gaia DR3 5868440492071967104,0.4427,27.53,6.09,0.01,0.11,15.03,0.914,9.029,0.003,9.122,0.003,8.803,0.004,,2.478e-09,6e-12,6e-12,2211.0,88.0,86.0,8.6,0.03,8.58,0.04,8.54,0.02,8.38,0.02,8.33,0.02,7.78,0.03,6.8,0.1,,64.0,3.0,3.0,4.9077362e+30,3.60793e+30,3.607317e+30,3e-06,2e-06,2e-06,0,star,
HD 119682,B0Ve,206.63566597,-62.92338696,CXO,J134632.5-625523,1.55,0.08,0.08,9.2e-13,3e-14,3e-14,9.5e-14,5e-15,5e-15,1.35e-13,7e-15,7e-15,6.9e-13,3e-14,3e-14,0.18,0.04,0.04,0.67,0.05,0.05,Gaia DR3 5864664975280537728,0.6055,21.14,5.26,0.02,0.255,69.64,0.946,8.518,0.006,8.51,0.02,8.43,0.03,29824.0,3.97e-09,2e-11,2e-11,1597.0,65.0,81.0,7.35,0.03,7.18,0.03,6.95,0.02,6.53,0.06,6.27,0.02,5.69,0.02,5.24,0.09,200.0,40.0,2.0,2.0,2.8071223e+32,2.517332e+31,3.0064073e+31,0.000232,9e-06,8e-06,0,GCA,2
mu Cen,B2Vnpe,207.4039807,-42.47381501,XMM,J134936.7-422822,,,,2.7e-13,8e-15,8e-15,1.97e-13,7e-15,7e-15,5.7e-14,3e-15,3e-15,1.6e-14,4e-15,4e-15,-0.55,0.03,0.03,-0.55,0.08,0.08,Gaia DR3 6109087784495371648,7.3269,14.2,29.5,0.3,2.107,7866.0,5.777,3.426,0.004,3.42,0.02,3.51,0.02,19977.0,4.32e-07,2e-09,2e-09,142.0,10.0,11.0,3.7,0.2,3.7,0.2,4.01,0.04,4.1,0.3,3.8,0.2,3.83,0.01,3.15,0.02,124.0,20.0,1.0,1.0,6.511943e+29,9.397744e+28,9.845232e+28,6.3e-07,2e-08,2e-08,1,star,
V767 Cen,B2Ve,208.48844872,-47.12818283,XMM,J135357.1-470741,,,,2.65e-12,4e-14,4e-14,5.3e-13,1e-14,1e-14,4.8e-13,8e-15,8e-15,1.64e-12,4e-14,4e-14,-0.05,0.01,0.01,0.55,0.02,0.02,Gaia DR3 6095347496917833472,1.4567,15.63,8.78,0.09,0.585,437.0,1.559,6.11,0.007,6.03,0.02,6.16,0.03,19280.0,3.65e-08,2e-10,2e-10,678.0,33.0,40.0,5.88,0.02,5.81,0.02,5.62,0.02,6.27,0.06,6.04,0.02,5.69,0.02,5.05,0.03,130.0,28.0,1.0,2.0,1.4563705e+32,1.4504451e+31,1.7222831e+31,7.3e-05,1e-06,1e-06,0,GCA,4
4U 1416-62,Be,215.30060803,-62.69892176,CXO,J142112.1-624156,,,,3.1e-13,5e-14,4e-14,1e-20,1e-20,2.09541e-15,1.7e-14,5e-15,5e-15,2.9e-13,5e-14,4e-14,1.0,0.4,0.4,0.9,0.2,0.2,Gaia DR3 5854175187710795136,0.0633,1.28,4.71,0.03,0.274,11.96,1.035,16.178,0.003,17.23,0.008,14.936,0.005,,3.425e-12,9e-15,9e-15,,,,13.3,0.02,12.75,0.02,12.29,0.02,11.747,0.01,11.683,0.009,,,,,,,,,,,,0.09,0.01,0.01,0,star,
CQ Cir,B1Ve,222.70935324,-60.28622165,XMM,J145050.2-601710,1.4,0.2,0.3,2.63e-12,8e-14,8e-14,9.8e-14,1e-14,1e-14,4.4e-13,1e-14,1e-14,2.1e-12,8e-14,8e-14,0.63,0.04,0.04,0.66,0.04,0.04,Gaia DR3 5878184669002394880,0.6079,36.6,4.61,0.01,0.092,15.28,1.019,9.555,0.003,10.043,0.003,8.866,0.004,,1.526e-09,4e-12,4e-12,1598.0,41.0,45.0,7.94,0.03,7.62,0.05,7.28,0.03,6.75,0.05,6.43,0.02,5.65,0.01,4.39,0.03,335.0,34.9,0.9,1.0,8.042656e+32,4.877141e+31,5.2180556e+31,0.00173,5e-05,5e-05,0,GCA,4
d Lup,B3IVpe,233.97173763,-44.9584811,XMM,J153553.1-445731,,,,1.1e-14,4e-15,4e-15,6e-15,2e-15,2e-15,0.0,3e-16,3e-16,5e-15,4e-15,4e-15,-1.0,0.4,0.4,1.0,1.0,1.0,Gaia DR3 6001046782644084736,6.846,51.98,29.4,0.1,0.847,847.1,0.988,4.681,0.003,4.548,0.008,4.8,0.01,17100.0,1.36e-07,4e-10,4e-10,146.0,3.0,2.0,4.97,0.04,5.07,0.02,5.1,0.03,5.1,0.2,4.94,0.09,5.19,0.01,5.1,0.03,,20.4,0.4,0.3,2.8929644e+28,1.0861352e+28,1.0846722e+28,8e-08,3e-08,3e-08,0,star,
48 Lib,B8IIe,239.54730422,-14.27942818,XMM,J155811.3-141645,,,,5e-15,1e-15,1e-15,5e-16,2e-16,2e-16,1.3e-16,9e-17,9e-17,4e-15,1e-15,1e-15,-0.6,0.4,0.4,0.9,0.4,0.4,Gaia DR3 6263223955904774656,7.154,58.75,21.4,0.1,0.702,760.2,0.863,4.742,0.004,4.726,0.01,4.74,0.01,13352.0,1.285e-07,5e-10,5e-10,139.0,3.0,2.0,5.1,0.2,4.83,0.08,4.59,0.02,5.17,0.06,3.8,0.2,3.29,0.01,2.46,0.02,390.0,14.1,0.3,0.3,1.1058423e+28,2.850792e+27,2.843102e+27,3.7e-08,9e-09,9e-09,0,star,
del Sco,B0.2IVe,240.083375,-22.62170556,XMM,J160019.7-223717,,,,9.11e-13,9e-15,9e-15,8.02e-13,8e-15,8e-15,1e-13,2e-15,2e-15,9e-15,2e-15,2e-15,-0.78,0.01,0.01,-0.84,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,2.4,0.3,2.4,0.2,2.4,0.3,-0.9,,-0.72,,1.11,0.02,0.57,0.02,175.0,,,,,,,,,,2,star,
HD 143700,B1.5Vne,241.00907213,-47.47609856,XRT,122205,2.9,0.5,1.0,1.4e-13,2e-14,2e-14,8e-14,1e-14,1e-14,2.6e-14,4e-15,4e-15,3e-14,5e-15,5e-15,-0.5,0.2,0.2,0.1,0.1,0.1,Gaia DR3 5984774216749211648,1.0041,44.89,3.05,0.02,0.143,26.82,0.917,9.065,0.003,9.336,0.005,8.606,0.008,28973.0,2.398e-09,7e-12,7e-12,966.0,22.0,23.0,8.33,0.02,8.15,0.04,7.95,0.02,7.32,0.03,7.12,0.02,6.49,0.02,5.23,0.03,230.0,14.0,0.3,0.3,1.5787812e+31,1.9065135e+30,1.9127289e+30,5.9e-05,7e-06,7e-06,1,star,
V1075 Sco,O8Ve,258.83020835,-33.54843167,XMM,J171519.2-333254,,,,5.66e-13,5e-15,5e-15,5.11e-13,5e-15,5e-15,5.2e-14,1e-15,1e-15,3e-15,1e-15,1e-15,-0.82,0.01,0.01,-0.88,0.04,0.04,Gaia DR3 5979008205986483712,0.9543,10.95,3.8,0.08,0.462,226.0,0.817,5.668,0.003,5.634,0.003,5.674,0.005,17993.0,5.48e-08,1e-10,1e-10,1030.0,99.0,145.0,5.66,0.02,5.68,0.03,5.59,0.02,5.4,0.1,5.2,0.05,5.17,0.01,4.69,0.03,211.0,19.0,2.0,3.0,7.1919747e+31,1.384517e+31,2.0243111e+31,1.03e-05,1e-07,1e-07,0,star,
gam Ara,B1IIe,261.34855538,-56.37778641,XMM,J172523.7-562239,,,,6.05e-13,7e-15,7e-15,4.6e-13,6e-15,6e-15,1.16e-13,2e-15,2e-15,2.9e-14,3e-15,3e-15,-0.6,0.01,0.01,-0.6,0.03,0.03,Gaia DR3 5922299347569528832,3.9387,8.91,13.1,0.3,2.013,6391.0,2.488,3.305,0.004,3.3,0.01,3.373,0.004,14338.0,4.83e-07,2e-09,2e-09,260.0,27.0,31.0,3.6,0.2,3.6,0.2,3.79,0.04,3.7,0.3,3.4,0.3,3.78,0.01,3.66,0.03,302.0,16.0,2.0,2.0,4.8767732e+30,1.0099102e+30,1.15407905e+30,1.25e-06,1e-08,1e-08,0,star,
V750 Ara,B2Vne,261.97837449,-47.02622862,XMM,J172754.7-470133,,,,2.64e-12,4e-14,4e-14,1.56e-13,4e-15,4e-15,3.1e-13,4e-15,4e-15,2.17e-12,4e-14,4e-14,0.33,0.01,0.01,0.75,0.02,0.02,Gaia DR3 5951798797906183936,0.9867,19.04,1.88,0.04,0.283,68.13,0.735,6.564,0.003,6.589,0.006,6.437,0.006,35461.0,2.401e-08,7e-11,7e-11,988.0,50.0,70.0,6.31,0.02,6.23,0.03,5.97,0.02,5.7,0.1,5.22,0.07,4.64,0.01,3.89,0.02,310.0,8.8,0.5,0.7,3.0845916e+32,3.186655e+31,4.430929e+31,0.00011,2e-06,2e-06,0,GCA,2
alf Ara,B2Vne,262.96015033,-49.8764425,XMM,J173150.5-495237,,,,3.4e-14,5e-15,5e-15,2.6e-14,3e-15,3e-15,1.4e-15,7e-16,7e-16,6e-15,5e-15,5e-15,-0.9,0.1,0.1,0.6,0.8,0.8,Gaia DR3 5949437149987478016,,,,,1.941,3360.0,,2.878,0.004,3.14,0.03,2.902,0.01,,7.15e-07,3e-09,3e-09,,,,,,,,,,0.63,,0.06,,1.09,0.04,0.42,0.01,290.0,,,,,,,4.7e-08,8e-09,8e-09,0,star,
Cl* NGC 6383 FJL 24,B9Ve,263.69976323,-32.58896985,XMM,J173448.0-323520,,,,1.5e-14,2e-15,2e-15,8e-15,1e-15,1e-15,5e-15,8e-16,8e-16,3e-15,2e-15,2e-15,-0.2,0.1,0.1,-0.3,0.3,0.3,Gaia DR3 4054618589653638784,0.7069,18.22,3.08,0.04,0.253,72.46,1.512,11.267,0.003,11.399,0.003,11.015,0.004,,3.156e-10,8e-13,8e-13,1348.0,63.0,79.0,10.65,0.02,10.47,0.03,10.4,0.04,10.25,0.06,10.41,0.08,8.8,0.4,6.37,,,19.7,0.9,1.2,3.3234e+30,6.243045e+29,6.665057e+29,4.8e-05,8e-06,8e-06,0,star,
V3892 Sgr,Oe,266.19068598,-27.22903214,CXO,J174445.7-271344,1.7,0.3,0.3,9.4e-13,1e-13,1e-13,7e-14,2e-14,2e-14,1.7e-13,2e-14,2e-14,7e-13,1e-13,1e-13,0.4,0.1,0.1,0.6,0.1,0.1,Gaia DR3 4060784345959549184,0.7873,33.22,2.45,0.02,0.087,4.669,0.803,8.235,0.003,8.511,0.007,7.735,0.006,40958.0,5.15e-09,2e-11,2e-11,1208.0,30.0,34.0,7.05,0.02,6.84,0.04,6.51,0.02,5.81,0.08,5.63,0.05,4.97,0.02,3.97,0.03,,14.0,0.4,0.4,1.6391748e+32,1.9140064e+31,1.9604984e+31,0.00018,2e-05,2e-05,0,GCA,2
HD 316341,B0Ve,267.14805981,-29.95800155,XMM,J174835.5-295728,,,,2.5e-13,2e-14,2e-14,1.1e-14,1e-15,1e-15,3.4e-14,2e-15,2e-15,2e-13,2e-14,2e-14,0.51,0.05,0.05,0.71,0.09,0.09,Gaia DR3 4057180662233441536,0.6098,28.62,1.58,0.02,0.066,3.591,0.82,9.641,0.003,9.841,0.005,9.266,0.006,,1.411e-09,4e-12,4e-12,1555.0,61.0,58.0,7.6,0.02,7.34,0.05,6.96,0.02,8.56,0.02,8.47,0.01,,,,,120.0,11.7,0.5,0.5,7.119969e+31,7.37556e+30,7.14129e+30,0.00017,1e-05,1e-05,0,star,
HD 316520,B5IVnne,268.01417619,-28.75861884,CXO,J175203.4-284530,,,,4e-13,2e-13,1e-13,9e-15,7e-15,7e-15,3e-14,1e-14,1e-14,3e-13,1e-13,1e-13,0.6,0.4,0.4,0.8,0.5,0.5,Gaia DR3 4057351464551123328,0.5076,28.4,0.55,0.01,0.0,0.0,0.688,10.62,0.003,10.81,0.004,10.266,0.005,6442.0,5.72e-10,2e-12,2e-12,1853.0,70.0,77.0,9.82,,9.65,,9.41,0.03,9.05,0.03,8.85,0.03,8.23,0.06,7.46,,,4.8,0.2,0.2,1.4600045e+32,6.2653615e+31,5.983491e+31,0.0006,0.0003,0.0002,0,star,
V771 Sgr,Oe,268.3685113,-24.77435743,XMM,J175328.4-244627,2.1,0.3,0.6,4.02e-12,5e-14,5e-14,1.4e-13,4e-15,4e-15,4.33e-13,6e-15,6e-15,3.45e-12,5e-14,5e-14,0.51,0.01,0.01,0.78,0.02,0.02,Gaia DR3 4067633238255477248,0.5548,5.99,2.65,0.07,0.699,337.7,3.636,8.397,0.003,8.827,0.003,7.739,0.004,,4.44e-09,1e-11,1e-11,1848.0,235.0,327.0,6.91,0.02,6.58,0.04,6.18,0.02,5.5,0.2,5.18,0.08,4.46,0.02,3.46,0.02,,23.0,3.0,4.0,1.6437351e+33,4.1921006e+32,5.818047e+32,0.00091,1e-05,1e-05,0,GCA,5
HD 316568,B2IVpe,268.67794077,-29.72989768,CXO,J175442.7-294347,,,,9e-15,2e-15,2e-15,9e-16,4e-16,4e-16,1.9e-15,4e-16,4e-16,6e-15,2e-15,2e-15,0.4,0.2,0.2,0.5,0.2,0.2,Gaia DR3 4056489821007384192,0.5676,29.3,0.73,0.02,0.0,0.05881,0.662,9.652,0.003,9.778,0.006,9.368,0.008,,1.396e-09,4e-12,4e-12,1690.0,57.0,52.0,8.9,0.03,8.78,0.03,8.5,0.04,,,,,,,,,,5.8,0.3,0.2,3.107355e+30,6.096885e+29,6.02732e+29,7e-06,1e-06,1e-06,0,GCA,5
